,ExpiryDate,StrikePrice,Stock,StockPrice,PCR
0,2020-08-14,400.9375,AAPL,444.45001220703125,2.0
1,2020-08-21,405.375,AAPL,444.45001220703125,2.0
2,2020-08-28,413.8125,AAPL,444.45001220703125,2.0
3,2020-09-04,412.875,AAPL,444.45001220703125,2.0
4,2020-09-11,423.125,AAPL,444.45001220703125,2.0
5,2020-09-18,382.125,AAPL,444.45001220703125,2.0
6,2020-09-25,440.375,AAPL,444.45001220703125,2.0
7,2020-10-16,370.125,AAPL,444.45001220703125,2.0
8,2020-11-20,382.875,AAPL,444.45001220703125,2.0
9,2020-12-18,336.25,AAPL,444.45001220703125,2.0
10,2021-01-15,234.375,AAPL,444.45001220703125,2.0
11,2021-03-19,370.625,AAPL,444.45001220703125,2.0
0,2020-08-14,214.41873683818184,MSFT,212.47999572753906,1.971774193548387
1,2020-08-21,201.0,MSFT,212.47999572753906,1.971774193548387
2,2020-08-28,213.37058146034113,MSFT,212.47999572753906,1.971774193548387
3,2020-09-04,213.320026980623,MSFT,212.47999572753906,1.971774193548387
4,2020-09-11,216.92842315961153,MSFT,212.47999572753906,1.971774193548387
5,2020-09-18,197.03642913531394,MSFT,212.47999572753906,1.971774193548387
6,2020-09-25,226.14277652370203,MSFT,212.47999572753906,1.971774193548387
7,2020-10-16,194.52485245579808,MSFT,212.47999572753906,1.971774193548387
8,2020-11-20,221.128639689061,MSFT,212.47999572753906,1.971774193548387
9,2020-12-18,182.42462184020846,MSFT,212.47999572753906,1.971774193548387
10,2021-01-15,171.20695205296803,MSFT,212.47999572753906,1.971774193548387
11,2021-02-19,210.0,MSFT,212.47999572753906,1.971774193548387
12,2021-03-19,177.56194315587953,MSFT,212.47999572753906,1.971774193548387
0,2020-08-14,399.25,NVDA,447.9800109863281,2.0
1,2020-08-21,363.0625,NVDA,447.9800109863281,2.0
2,2020-08-28,409.75,NVDA,447.9800109863281,2.0
3,2020-09-04,414.0625,NVDA,447.9800109863281,2.0
4,2020-09-11,430.75,NVDA,447.9800109863281,2.0
5,2020-09-18,313.0,NVDA,447.9800109863281,2.0
6,2020-09-25,455.5625,NVDA,447.9800109863281,2.0
7,2020-10-16,399.625,NVDA,447.9800109863281,2.0
8,2020-12-18,309.25,NVDA,447.9800109863281,2.0
9,2021-01-15,241.125,NVDA,447.9800109863281,2.0
10,2021-03-19,409.0,NVDA,447.9800109863281,2.0
0,2020-08-14,1487.4195840330706,GOOGL,1498.3699951171875,1.8969072164948453
1,2020-08-21,1468.7449314290143,GOOGL,1498.3699951171875,1.8969072164948453
2,2020-08-28,1531.75,GOOGL,1498.3699951171875,1.8969072164948453
3,2020-09-04,1428.5444444444445,GOOGL,1498.3699951171875,1.8969072164948453
4,2020-09-11,1466.2186978297161,GOOGL,1498.3699951171875,1.8969072164948453
5,2020-09-18,1405.7198469546647,GOOGL,1498.3699951171875,1.8969072164948453
6,2020-09-25,1472.142857142857,GOOGL,1498.3699951171875,1.8969072164948453
7,2020-10-16,1446.7857902573921,GOOGL,1498.3699951171875,1.8969072164948453
8,2020-11-20,1658.549645390071,GOOGL,1498.3699951171875,1.8969072164948453
9,2021-01-15,1308.625,GOOGL,1498.3699951171875,1.8969072164948453
0,2020-08-28,145.90168539325842,VMW,142.30999755859375,1.196078431372549
1,2020-09-04,144.44230769230768,VMW,142.30999755859375,1.196078431372549
2,2020-09-11,148.55555555555554,VMW,142.30999755859375,1.196078431372549
3,2020-09-18,156.5316205533597,VMW,142.30999755859375,1.196078431372549
4,2020-10-16,162.249430523918,VMW,142.30999755859375,1.196078431372549
5,2021-01-15,182.1550365884431,VMW,142.30999755859375,1.196078431372549
0,2020-08-14,52.6875,INTC,48.029998779296875,2.0
1,2020-08-21,56.10741146150862,INTC,48.029998779296875,2.0
2,2020-08-28,51.15745828115816,INTC,48.029998779296875,2.0
3,2020-09-11,49.703664176449664,INTC,48.029998779296875,2.0
4,2020-09-18,63.9568938912859,INTC,48.029998779296875,2.0
5,2020-09-25,49.625,INTC,48.029998779296875,2.0
6,2020-10-16,56.16438976279362,INTC,48.029998779296875,2.0
7,2021-01-15,55.524769782991555,INTC,48.029998779296875,2.0
8,2021-02-19,55.04861706908526,INTC,48.029998779296875,2.0
0,2020-08-14,258.7326868052566,FB,268.44000244140625,2.0
1,2020-08-21,234.8125,FB,268.44000244140625,2.0
2,2020-08-28,252.83371160139345,FB,268.44000244140625,2.0
3,2020-09-04,263.95233525271914,FB,268.44000244140625,2.0
4,2020-09-18,215.84310710674202,FB,268.44000244140625,2.0
5,2020-09-25,251.9375,FB,268.44000244140625,2.0
6,2020-10-16,237.75,FB,268.44000244140625,2.0
7,2021-01-15,196.03578036002105,FB,268.44000244140625,2.0
8,2021-03-19,192.75,FB,268.44000244140625,2.0
0,2020-08-14,25.431257953527833,BAC,26.110000610351562,1.9388888888888889
1,2020-08-21,25.437971148912656,BAC,26.110000610351562,1.9388888888888889
2,2020-08-28,24.899081471559107,BAC,26.110000610351562,1.9388888888888889
3,2020-09-04,25.5048648315783,BAC,26.110000610351562,1.9388888888888889
4,2020-09-18,26.25371016334907,BAC,26.110000610351562,1.9388888888888889
5,2020-09-25,25.114556962025315,BAC,26.110000610351562,1.9388888888888889
6,2020-10-16,25.459455055081154,BAC,26.110000610351562,1.9388888888888889
7,2020-11-20,24.02837832335817,BAC,26.110000610351562,1.9388888888888889
8,2021-01-15,28.719134350549083,BAC,26.110000610351562,1.9388888888888889
0,2020-08-14,95.325,JPM,99.37999725341797,1.9602272727272727
1,2020-08-28,99.38095238095238,JPM,99.37999725341797,1.9602272727272727
2,2020-09-04,96.35378918132523,JPM,99.37999725341797,1.9602272727272727
3,2020-09-11,99.54055896387185,JPM,99.37999725341797,1.9602272727272727
4,2020-09-18,108.50692753379796,JPM,99.37999725341797,1.9602272727272727
5,2020-09-25,99.30357142857143,JPM,99.37999725341797,1.9602272727272727
6,2020-12-18,102.3395010949032,JPM,99.37999725341797,1.9602272727272727
7,2021-01-15,109.12417527526577,JPM,99.37999725341797,1.9602272727272727
8,2021-03-19,100.93788080203834,JPM,99.37999725341797,1.9602272727272727
0,2020-08-14,199.6558631921824,V,196.36000061035156,1.9558823529411764
1,2020-08-21,198.78243343946886,V,196.36000061035156,1.9558823529411764
2,2020-08-28,196.273815653965,V,196.36000061035156,1.9558823529411764
3,2020-09-18,190.92238564841304,V,196.36000061035156,1.9558823529411764
4,2020-09-25,192.5,V,196.36000061035156,1.9558823529411764
5,2020-12-18,185.11149250264538,V,196.36000061035156,1.9558823529411764
6,2021-03-19,196.3115829064905,V,196.36000061035156,1.9558823529411764
0,2020-08-14,3282.0712602245944,AMZN,3167.4599609375,1.8888888888888888
1,2020-08-21,2597.375,AMZN,3167.4599609375,1.8888888888888888
2,2020-08-28,3398.8016707475153,AMZN,3167.4599609375,1.8888888888888888
3,2020-09-11,3244.6477495107633,AMZN,3167.4599609375,1.8888888888888888
4,2020-09-18,2882.181378911008,AMZN,3167.4599609375,1.8888888888888888
5,2020-10-16,2836.5915119363394,AMZN,3167.4599609375,1.8888888888888888
