StockInvestedin|Sector|SectorTotal|Value(Mn)|%ofTotalHoldings|1MChange|1YHighestHolding|1YLowestHolding|Quantity|1MChangeinQty|M-Cap|GroupName|funaname|date
RelianceIndustriesLtd.|Refineries/marketing|11.15|611.5|8.63|-0.02%|8.65%(Apr2020)|6.57%(Feb2020)|4.18L|-0.11L|LargeCap|67.51|kotak-india-eq-contra-fund-regular-plan|29-06-2020
HDFCBankLtd.|Banks|18.06|417.1|5.89|-0.71%|9.07%(Sep2019)|5.89%(May2020)|4.38L|-0.40L|Other|7.69|kotak-india-eq-contra-fund-regular-plan|29-06-2020
InfosysLtd.|Computers-software|10.02|410.5|5.79|0.08%|5.88%(Mar2020)|3.91%(Jun2019)|5.94L|15.00k|LargeCap|67.51|kotak-india-eq-contra-fund-regular-plan|29-06-2020
ICICIBankLtd.|Banks|18.06|408.3|5.76|-0.68%|8.43%(Dec2019)|5.76%(May2020)|12.30L|0.00|LargeCap|67.51|kotak-india-eq-contra-fund-regular-plan|29-06-2020
Larsen&ToubroLtd.|Engineering,designing,construction|4.77|269.5|3.80|0.23%|4.77%(Sep2019)|3.56%(Mar2020)|2.89L|0.00|LargeCap|67.51|kotak-india-eq-contra-fund-regular-plan|29-06-2020
BhartiAirtelLtd.|Telecom-services|3.62|256.5|3.62|0.33%|3.62%(May2020)|0.57%(Jun2019)|4.64L|0.00|LargeCap|67.51|kotak-india-eq-contra-fund-regular-plan|29-06-2020
UltratechCementLtd.|Cement|6.45|246.4|3.48|0.41%|3.48%(May2020)|0.98%(Jun2019)|63.10k|0.00|LargeCap|67.51|kotak-india-eq-contra-fund-regular-plan|29-06-2020
HindustanUnileverLtd.|Diversified|3.34|236.5|3.34|-0.05%|4.22%(Mar2020)|1.15%(Dec2019)|1.15L|2.95k|LargeCap|67.51|kotak-india-eq-contra-fund-regular-plan|29-06-2020
TataConsultancyServicesLtd.|Computers-software|10.02|213|3.01|0.01%|3.97%(Aug2019)|2.01%(Feb2020)|1.08L|0.00|LargeCap|67.51|kotak-india-eq-contra-fund-regular-plan|29-06-2020
ShreeCementLtd.|Cement|6.45|177.3|2.50|0.19%|2.5%(May2020)|0.91%(Aug2019)|8.50k|0.00|LargeCap|67.51|kotak-india-eq-contra-fund-regular-plan|29-06-2020
TorrentPharmaceuticalsLtd.|Pharmaceuticals|5.05|177.2|2.50|0.08%|2.5%(May2020)|0%(Jun2019)|75.00k|0.00|MidCap|20.35|kotak-india-eq-contra-fund-regular-plan|29-06-2020
